TF	MotifName	Length	ConsensusScore
FOSB::JUN	MA1127.1	11	1.843376e+01
FOSL1::JUN	MA1128.1	13	1.690285e+01
FOSL1::JUN	MA1129.1	10	1.627185e+01
FOSL2::JUN	MA1130.1	12	1.641851e+01
FOSL2::JUN	MA1131.1	11	1.795017e+01
JUN::JUNB	MA1132.1	10	1.504331e+01
JUN::JUNB	MA1133.1	12	1.748905e+01
FOS::JUNB	MA1134.1	12	1.702202e+01
FOSB::JUNB	MA1135.1	10	1.608583e+01
FOSB::JUNB	MA1136.1	10	1.657655e+01
FOSL1::JUNB	MA1137.1	13	1.561375e+01
FOSL2::JUNB	MA1138.1	10	1.613973e+01
FOSL2::JUNB	MA1139.1	12	1.854215e+01
FOS::JUND	MA1141.1	13	1.767930e+01
FOSL1::JUND	MA1142.1	10	1.336328e+01
FOSL1::JUND	MA1143.1	10	1.391231e+01
FOSL2::JUND	MA1144.1	10	1.633599e+01
FOSL2::JUND	MA1145.1	15	1.962296e+01
NR1H4::RXRA	MA1146.1	15	2.187823e+01
NR4A2::RXRA	MA1147.1	15	2.200189e+01
PPARA::RXRA	MA1148.1	18	2.317128e+01
RARA::RXRG	MA1149.1	18	2.176965e+01
RORB	MA1150.1	11	1.505987e+01
RORC	MA1151.1	12	1.550759e+01
SOX15	MA1152.1	10	1.370547e+01
Smad4	MA1153.1	8	1.344654e+01
IRF3	MA1418.1	21	3.177107e+01
IRF4	MA1419.1	15	2.654893e+01
IRF5	MA1420.1	14	2.298859e+01
TCF7L1	MA1421.1	12	2.148221e+01
ARGFX	MA1463.1	10	1.560574e+01
ARNT2	MA1464.1	10	1.553333e+01
ATF6	MA1466.1	14	2.326748e+01
ATOH7	MA1468.1	10	1.492711e+01
BACH2	MA1101.2	19	2.517767e+01
BACH2	MA1470.1	20	2.996964e+01
BARX2	MA1471.1	12	1.562662e+01
CDX4	MA1473.1	11	1.756849e+01
CREB3L4	MA1474.1	12	1.768467e+01
CREB3L4	MA1475.1	12	1.762838e+01
DMRTA2	MA1478.1	12	1.591915e+01
DMRTC2	MA1479.1	12	1.872787e+01
DPRX	MA1480.1	10	1.520310e+01
DRGX	MA1481.1	8	1.175626e+01
ETS2	MA1484.1	10	1.599296e+01
FERD3L	MA1485.1	14	2.286471e+01
FOXN3	MA1489.1	8	1.568002e+01
HES6	MA1493.1	10	1.778067e+01
HNF4A	MA1494.1	15	2.503875e+01
HOXA1	MA1495.1	8	1.147340e+01
HOXA4	MA1496.1	8	1.132351e+01
HOXA6	MA1497.1	10	1.223423e+01
HOXB4	MA1499.1	8	1.223643e+01
HOXB6	MA1500.1	8	1.132708e+01
HOXB7	MA1501.1	10	1.474526e+01
HOXB8	MA1502.1	8	1.204288e+01
HOXB9	MA1503.1	10	1.657427e+01
HOXC4	MA1504.1	8	1.125130e+01
HOXC8	MA1505.1	8	1.127793e+01
HOXD10	MA1506.1	11	1.801948e+01
HOXD4	MA1507.1	8	1.145435e+01
IKZF1	MA1508.1	12	1.685120e+01
IRF6	MA1509.1	9	1.668360e+01
KLF11	MA1512.1	11	1.765781e+01
KLF15	MA1513.1	11	1.797187e+01
KLF17	MA1514.1	15	2.329723e+01
KLF2	MA1515.1	11	1.500326e+01
KLF3	MA1516.1	11	1.787514e+01
KLF6	MA1517.1	11	1.566856e+01
LHX5	MA1519.1	8	1.278487e+01
MAF	MA1520.1	15	2.137414e+01
MAFA	MA1521.1	15	2.086419e+01
MAZ	MA1522.1	11	1.692527e+01
MSANTD3	MA1523.1	10	1.422006e+01
NFIC	MA1527.1	17	2.278525e+01
NFIX	MA1528.1	17	2.244969e+01
NHLH2	MA1529.1	18	2.697865e+01
NKX6-3	MA1530.1	9	1.348446e+01
NR1D1	MA1531.1	15	2.349783e+01
NR1I2	MA1533.1	17	2.292480e+01
NR1I3	MA1534.1	9	1.454669e+01
NR2C1	MA1535.1	9	1.193953e+01
NR2C2	MA1536.1	8	1.027053e+01
NR2F1	MA1537.1	15	2.473700e+01
NR2F1	MA1538.1	15	2.377372e+01
NR2F6	MA1539.1	15	2.485767e+01
NR6A1	MA1541.1	17	2.393963e+01
OSR1	MA1542.1	10	1.547414e+01
OVOL1	MA1544.1	14	1.910217e+01
OVOL2	MA1545.1	13	1.593056e+01
PAX3	MA1546.1	16	2.234273e+01
PLAGL2	MA1548.1	10	1.543920e+01
POU6F1	MA1549.1	10	1.445967e+01
PPARD	MA1550.1	16	2.524610e+01
RARB	MA1552.1	14	2.275838e+01
RARG	MA1553.1	14	2.288062e+01
RFX7	MA1554.1	9	1.328468e+01
RXRB	MA1555.1	14	2.193720e+01
RXRG	MA1556.1	14	2.265208e+01
SMAD5	MA1557.1	10	1.719181e+01
SNAI1	MA1558.1	10	1.415482e+01
SNAI3	MA1559.1	10	1.653177e+01
SOHLH2	MA1560.1	10	1.532277e+01
SOX12	MA1561.1	11	1.814798e+01
SOX14	MA1562.1	10	1.710204e+01
SP9	MA1564.1	12	1.754063e+01
TBX18	MA1565.1	12	1.755936e+01
TCF21	MA1568.1	12	1.732210e+01
TFAP2E	MA1569.1	11	1.493387e+01
TFAP4	MA1570.1	10	1.411131e+01
TGIF2LX	MA1571.1	12	2.040702e+01
TGIF2LY	MA1572.1	12	1.953918e+01
THRB	MA1574.1	15	2.243022e+01
THRB	MA1575.1	19	2.570643e+01
THRB	MA1576.1	19	2.948108e+01
TLX2	MA1577.1	8	1.202168e+01
VEZF1	MA1578.1	10	1.448465e+01
ZBTB26	MA1579.1	15	1.626134e+01
ZBTB32	MA1580.1	10	1.705863e+01
ZBTB6	MA1581.1	13	1.728423e+01
ZFP57	MA1583.1	13	1.544513e+01
ZIC5	MA1584.1	16	2.495055e+01
ZKSCAN1	MA1585.1	10	1.671290e+01
ZNF135	MA1587.1	14	2.316321e+01
ZNF136	MA1588.1	15	2.480983e+01
ZNF140	MA1589.1	21	3.331429e+01
ZNF274	MA1592.1	16	2.230014e+01
ZNF317	MA1593.1	12	1.745958e+01
ZNF382	MA1594.1	24	3.771876e+01
ZNF460	MA1596.1	16	2.720975e+01
ZNF528	MA1597.1	17	2.953044e+01
ZNF682	MA1599.1	16	2.217941e+01
ZNF684	MA1600.1	18	2.892527e+01
ZSCAN29	MA1602.1	12	1.826987e+01
Dmrt1	MA1603.1	13	1.959091e+01
Ebf2	MA1604.1	13	1.798501e+01
Foxf1	MA1606.1	11	1.489833e+01
Foxl2	MA1607.1	14	1.785895e+01
Isl1	MA1608.1	11	1.385821e+01
Plagl1	MA1615.1	13	1.706166e+01
Prdm15	MA1616.1	15	2.045997e+01
Ptf1a	MA1618.1	13	1.568384e+01
Ptf1A	MA1619.1	12	1.528300e+01
Ptf1A	MA1620.1	12	1.550445e+01
Rbpjl	MA1621.1	14	1.591167e+01
Stat2	MA1623.1	13	1.940868e+01
Stat5a	MA1624.1	12	1.720488e+01
Stat5b	MA1625.1	15	1.822301e+01
Wt1	MA1627.1	14	2.006092e+01
Zic1::Zic2	MA1628.1	11	1.531450e+01
Zic2	MA1629.1	14	1.925384e+01
ASCL1	MA1100.2	10	1.392100e+01
ATF3	MA0605.2	12	1.980841e+01
BATF::JUN	MA0462.2	11	1.597745e+01
BCL6	MA0463.2	16	2.364493e+01
E2F2	MA0864.2	16	2.101212e+01
E2F3	MA0469.3	16	2.663745e+01
E2F4	MA0470.2	14	2.133999e+01
EMX1	MA0612.2	8	1.273822e+01
GATA5	MA0766.2	10	1.366373e+01
GFI1	MA0038.2	12	1.931266e+01
GSX2	MA0893.2	8	1.152382e+01
HES1	MA1099.2	10	1.452373e+01
HES2	MA0616.2	10	1.628772e+01
HOXA2	MA0900.2	8	1.264682e+01
HOXA5	MA0158.2	8	1.249053e+01
HOXA9	MA0594.2	10	1.186520e+01
HOXB2	MA0902.2	8	1.182997e+01
HOXB5	MA0904.2	8	1.206434e+01
HOXC9	MA0485.2	10	1.682150e+01
HOXD3	MA0912.2	8	1.420321e+01
HOXD8	MA0910.2	8	1.233919e+01
HOXD9	MA0913.2	10	1.589805e+01
JUNB	MA1140.2	12	2.126722e+01
LHX9	MA0701.2	8	1.320928e+01
LMX1A	MA0702.2	8	1.388306e+01
LMX1B	MA0703.2	11	1.746157e+01
NEUROG1	MA0623.2	10	1.608883e+01
NRL	MA0842.2	13	1.963254e+01
PITX1	MA0682.2	8	1.302394e+01
PRRX2	MA0075.3	8	1.307477e+01
SOX4	MA0867.2	10	1.460237e+01
SOX8	MA0868.2	10	1.485705e+01
SP3	MA0746.2	13	1.947346e+01
TCFL5	MA0632.2	10	1.597914e+01
TFEC	MA0871.2	11	1.710252e+01
ZNF740	MA0753.2	13	2.100569e+01
Nkx3-2	MA0122.3	13	1.760928e+01
DMRTA1	MA1707.1	12	1.713645e+01
ETV7	MA1708.1	11	1.593002e+01
ZIM3	MA1709.1	15	2.183040e+01
ZNF257	MA1710.1	12	1.741847e+01
ZNF343	MA1711.1	17	2.598657e+01
ZNF454	MA1712.1	18	2.460870e+01
ZNF610	MA1713.1	14	2.042089e+01
ZNF675	MA1714.1	21	2.863564e+01
ZNF707	MA1715.1	15	2.707284e+01
ZNF76	MA1716.1	21	2.881507e+01
ZNF784	MA1717.1	11	1.685552e+01
ZNF8	MA1718.1	20	3.450900e+01
